xInput,yInput
0.06,	0.171238756
0.08,	-0.17642546
0.1,	-0.305073108
0.12,	-0.444325629
0.14,	-0.595552927
0.16,	-0.707588333
0.18,	-0.815246523
0.2,	-0.945087329
0.24,	-1.074879329
0.28,	-1.268273872
0.32,	-1.368650633
0.36,	-1.556718293
0.4,	-1.641769362
0.44,	-1.727712441
0.48,	-1.813989676
0.52,	-1.871832293
0.56,	-1.884969552
0.6,	-1.826074803
0.64,	-1.793703098
0.68,	-1.735953571
0.72,	-1.672312696
0.76,	-1.520451316
0.8,	-1.357511352
0.82,	-1.255272505
0.84,	-1.175048535
0.86,	-1.099502824
0.88,	-0.995883434
0.9,	-0.890807803
0.92,	-0.782034684
0.94,	-0.7044329
0.96,	-0.520368366
