xInput,yInput
0.08,	-0.25357144
0.1,	-0.315807713
0.12,	-0.359595017
0.14,	-0.393799896
0.16,	-0.435878715
0.18,	-0.463848064
0.2,	-0.50119917
0.24,	-0.544473359
0.28,	-0.588189772
0.32,	-0.604084678
0.36,	-0.629615811
0.4,	-0.641617196
0.44,	-0.655097401
0.48,	-0.658978521
0.52,	-0.656803865
0.56,	-0.649904072
0.6,	-0.637162854
0.64,	-0.615551705
0.68,	-0.592292585
0.72,	-0.570216065
0.76,	-0.543812652
0.8,	-0.523446822
0.82,	-0.504537289
0.84,	-0.488509844
0.86,	-0.469524073
0.88,	-0.448454332
0.9,	-0.422463147
0.92,	-0.400907381
